task_key,workflow_id
compute_defcon_lite,wf-defcon
compute_elastic_sync,wf-elastic-sync
resolve_players,wf-entity-resolution
compute_embeddings_v2,wf-football2vec-v2
compute_embeddings_360,wf-football2vec-360
compute_formations_efpi,wf-formations
compute_formations_shape_graph,wf-shape-graphs
compute_line_breaking,wf-line-breaking
compute_shot_freeze_frames,wf-shot-freeze-frames
run_model_validation,wf-model-validation
run_staleness_monitor,wf-staleness-monitor
compute_pausa,wf-obso-pausa
compute_off_ball_xt,wf-off-ball-xt
compute_pitch_control,wf-pitch-control
compute_tracking_context,wf-tracking-context
preflight_tracking_context,wf-tracking-context
compute_action_context,wf-action-context
compute_action_context_statsbomb,wf-action-context
preflight_action_context,wf-action-context
preflight_spadl_vaep,wf-vaep
compute_spadl_vaep,wf-vaep
compute_xg_model_v2,wf-xg-v2
compute_xg_shot_scores,wf-shot-xg-scorer
compute_expected_threat,wf-xt-grids
ingest_statsbomb,wf-statsbomb
ingest_metrica,wf-metrica
ingest_wyscout,wf-wyscout
preflight_idsse,wf-idsse
ingest_idsse,wf-idsse
ingest_idsse_events,wf-idsse-events
ingest_skillcorner,wf-skillcorner
ingest_gradientsports,wf-gradientsports
preflight_gradientsports,wf-gradientsports
hf_sync,wf-hf-sync
backfill_statsbomb_extra,wf-backfill-extra
backfill_statsbomb_360,wf-backfill-360
extract_tracking_metadata,wf-tracking-metadata
import_obso_results,wf-import-obso
refresh_synced_tables,wf-refresh-synced-tables
dbt_build_input_marts,wf-dbt-build-input-marts
dbt_build_intermediate_marts,wf-dbt-build-intermediate-marts
dbt_build_output_marts,wf-dbt-build-output-marts
